"Species","LifeStage","CTmax","UniqueTrialID","Ramping_rate"
"Zebrafish","Embryo",41.3,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",41.4,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",41.2,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",40.5,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",41.1,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",40.8,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",41.3,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",41.5,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",40.9,"Zebrafish Embryo 8",18
"Zebrafish","Embryo",38,"Zebrafish Embryo 9",18
"Zebrafish","Embryo",38,"Zebrafish Embryo 9",18
"Zebrafish","Embryo",40.1,"Zebrafish Embryo 9",18
"Zebrafish","Embryo",39.6,"Zebrafish Embryo 9",18
"Zebrafish","Embryo",39.3,"Zebrafish Embryo 9",18
"Zebrafish","Embryo",38.4,"Zebrafish Embryo 9",18
"Zebrafish","Immature",40.4,"Zebrafish Immature 1",18
"Zebrafish","Immature",40.5,"Zebrafish Immature 1",18
"Zebrafish","Immature",40.7,"Zebrafish Immature 1",18
"Zebrafish","Immature",40.7,"Zebrafish Immature 1",18
"Zebrafish","Immature",41.3,"Zebrafish Immature 1",18
"Zebrafish","Immature",41.5,"Zebrafish Immature 1",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 1",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 1",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 1",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 1",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 1",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 1",18
"Zebrafish","Immature",40.4,"Zebrafish Immature 2",18
"Zebrafish","Immature",40.9,"Zebrafish Immature 2",18
"Zebrafish","Immature",40.9,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.3,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.4,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.4,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.5,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.5,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.5,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.5,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 2",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 2",18
"Zebrafish","Immature",40.4,"Zebrafish Immature 3",18
"Zebrafish","Immature",40.5,"Zebrafish Immature 3",18
"Zebrafish","Immature",40.5,"Zebrafish Immature 3",18
"Zebrafish","Immature",40.6,"Zebrafish Immature 3",18
"Zebrafish","Immature",40.6,"Zebrafish Immature 3",18
"Zebrafish","Immature",40.8,"Zebrafish Immature 3",18
"Zebrafish","Immature",40.9,"Zebrafish Immature 3",18
"Zebrafish","Immature",41,"Zebrafish Immature 3",18
"Zebrafish","Immature",41.1,"Zebrafish Immature 3",18
"Zebrafish","Immature",41.1,"Zebrafish Immature 3",18
"Zebrafish","Immature",41.4,"Zebrafish Immature 3",18
"Zebrafish","Immature",41.5,"Zebrafish Immature 3",18
"Zebrafish","Immature",40.9,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.1,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.1,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.2,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.3,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.3,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.4,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.4,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.4,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.4,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.4,"Zebrafish Immature 4",18
"Zebrafish","Immature",41.6,"Zebrafish Immature 4",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 1",18
"Zebrafish","Larva",41.6,"Zebrafish Larva 1",18
"Zebrafish","Larva",41.7,"Zebrafish Larva 1",18
"Zebrafish","Larva",41.8,"Zebrafish Larva 1",18
"Zebrafish","Larva",41.8,"Zebrafish Larva 1",18
"Zebrafish","Larva",41.9,"Zebrafish Larva 1",18
"Zebrafish","Larva",42,"Zebrafish Larva 1",18
"Zebrafish","Larva",42.1,"Zebrafish Larva 1",18
"Zebrafish","Larva",42.1,"Zebrafish Larva 1",18
"Zebrafish","Larva",42.2,"Zebrafish Larva 1",18
"Zebrafish","Larva",42.2,"Zebrafish Larva 1",18
"Zebrafish","Larva",42.3,"Zebrafish Larva 1",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.4,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.4,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.5,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.5,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.5,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.6,"Zebrafish Larva 2",18
"Zebrafish","Larva",41.6,"Zebrafish Larva 2",18
"Zebrafish","Larva",40.4,"Zebrafish Larva 3",18
"Zebrafish","Larva",40.7,"Zebrafish Larva 3",18
"Zebrafish","Larva",40.7,"Zebrafish Larva 3",18
"Zebrafish","Larva",40.8,"Zebrafish Larva 3",18
"Zebrafish","Larva",40.9,"Zebrafish Larva 3",18
"Zebrafish","Larva",40.9,"Zebrafish Larva 3",18
"Zebrafish","Larva",41,"Zebrafish Larva 3",18
"Zebrafish","Larva",41,"Zebrafish Larva 3",18
"Zebrafish","Larva",41,"Zebrafish Larva 3",18
"Zebrafish","Larva",41.2,"Zebrafish Larva 3",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 3",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 3",18
"Zebrafish","Larva",40.5,"Zebrafish Larva 4",18
"Zebrafish","Larva",40.7,"Zebrafish Larva 4",18
"Zebrafish","Larva",40.7,"Zebrafish Larva 4",18
"Zebrafish","Larva",40.9,"Zebrafish Larva 4",18
"Zebrafish","Larva",41,"Zebrafish Larva 4",18
"Zebrafish","Larva",41.1,"Zebrafish Larva 4",18
"Zebrafish","Larva",41.1,"Zebrafish Larva 4",18
"Zebrafish","Larva",41.3,"Zebrafish Larva 4",18
"Zebrafish","Larva",41.4,"Zebrafish Larva 4",18
"Zebrafish","Larva",41.6,"Zebrafish Larva 4",18
"Zebrafish","Larva",41.6,"Zebrafish Larva 4",18
"Zebrafish","Larva",41.7,"Zebrafish Larva 4",18
"Zebrafish","Spawner",40.3,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",40.8,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",40.9,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",40.9,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",41,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",41,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",41.1,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",41.3,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",41.3,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",41.4,"Zebrafish Spawner 1",18
"Zebrafish","Spawner",40.8,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41,"Zebrafish Spawner 2",18
